id;discount_code;discount_type;used
1;b547ca63-4d6b-449e-b17f-6afaf72cce33;PERCENTAGE;true
2;53489a9b-82fa-455d-85ed-40a2530f4367;PERCENTAGE;true
3;9278ecb9-df97-4364-8131-47cd15456bca;BUY_ONE_GET_ONE_FREE;false
4;55e2d955-fc3c-44d7-94ff-038c9122c73c;PERCENTAGE;false
5;46c7b88e-ff11-48e1-b329-9a8a6751a48e;BUY_ONE_GET_ONE_FREE;false
6;37f2bd38-1ecb-4771-b6cb-6e0ea5e7d1e4;PERCENTAGE;false
7;ff1a7d3c-e96d-48f0-94e9-632be5d798bd;FIXED;true
8;a0ec912b-c55e-408d-a419-a770648c56de;PERCENTAGE;false
9;f680a32b-3a18-4c88-83d2-9d1d41766532;BUY_ONE_GET_ONE_FREE;false
10;3ece0d42-abbb-4693-97ba-3506a8097398;FIXED;false
